title,placeUrl,category,address,LGA
Shasha Bus Stop,https://www.google.com/maps/place/Shasha+Bus+Stop/data=!4m7!3m6!1s0x103b91a66b074c9d:0x2939d5763d216f8e!8m2!3d6.6059249!4d3.31009!16s%2Fg%2F1hhxsb_wg!19sChIJnUwHa6aROxARjm8hPXbVOSk,Bus stop,"Idi Mangoro 102213, Ikeja, Lagos, Nigeria",Agege
Agege-Pencinema,https://www.google.com/maps/place/Agege-Pencinema/data=!4m7!3m6!1s0x103b916975273e13:0x6d265cad74501408!8m2!3d6.628523!4d3.324987!16s%2Fg%2F11r6y3xws3!19sChIJEz4ndWmROxARCBRQdK1cJm0,Bus stop,"Ifako Agege 101232, Lagos, Nigeria",Agege
Alaguntan Bus Stop,https://www.google.com/maps/place/Alaguntan+Bus+Stop/data=!4m7!3m6!1s0x103b90ffd27dfdd3:0xa385609cf4cb09f6!8m2!3d6.6126912!4d3.2980017!16s%2Fg%2F1tx17d1t!19sChIJ0_190v-QOxAR9gnL9JxghaM,Bus stop,"Cash Street, Agege 102213, Lagos, Nigeria",Agege
Caterpillar Bus Stop,https://www.google.com/maps/place/Caterpillar+Bus+Stop/data=!4m7!3m6!1s0x103b93e0099ed37b:0xeda7c0537bcb317!8m2!3d6.631351!4d3.339973!16s%2Fg%2F1hhvwmjw8!19sChIJe9OeCeCTOxARF7O8NwV82g4,Bus stop,"Ijaiye Rd, Ifako Agege 101233, Ikeja, Lagos, Nigeria",Agege
Ijaiye housing estate entrance,https://www.google.com/maps/place/Ijaiye+housing+estate+entrance/data=!4m7!3m6!1s0x103b916861096659:0x659b941900fb7d9c!8m2!3d6.6288463!4d3.3277738!16s%2Fg%2F11h1gql6m!19sChIJWWYJYWiROxARnH37ABmUm2U,Bus stop,"Oba Ogunji Rd, Agege 102212, Lagos, Nigeria",Agege
Ile-Jide Bus Stop,https://www.google.com/maps/place/Ile-Jide+Bus+Stop/data=!4m7!3m6!1s0x103b911c8b7627b5:0xbffed91f6f2f9c6f!8m2!3d6.6232193!4d3.3025423!16s%2Fg%2F1hhwrf5b9!19sChIJtSd2ixyROxARb5wvbx_Z_r8,Bus stop,"Agege 102212, Lagos, Nigeria",Agege
Gengeto Bus Stop,https://www.google.com/maps/place/Gengeto+Bus+Stop/data=!4m7!3m6!1s0x103b9138699d6883:0xbdd6283edf891428!8m2!3d6.6403558!4d3.3176431!16s%2Fg%2F11gzshjb4!19sChIJg2idaTiROxARKBSJ3z4o1r0,Bus stop,"Agege Motor Rd, Agege 102212, Lagos, Nigeria",Agege
Alagbaa,https://www.google.com/maps/place/Alagbaa/data=!4m7!3m6!1s0x103b911cd33ae349:0xe076237f22056c0!8m2!3d6.6207318!4d3.3014987!16s%2Fg%2F1hhw0jhhy!19sChIJSeM60xyROxARwFYg8jdiBw4,Bus stop,"Agege 102212, Lagos, Nigeria",Agege
National Bus Stop,https://www.google.com/maps/place/National+Bus+Stop/data=!4m7!3m6!1s0x103b918a34ea25a7:0x5336514db286fbe!8m2!3d6.5927786!4d3.3363247!16s%2Fg%2F1thvd1py!19sChIJpyXqNIqROxARvm8o2xRlMwU,Bus stop,"Agege Motor Rd, 101233, Ikeja, Lagos, Nigeria",Agege
Iyana Ipaja Bus Garage,https://www.google.com/maps/place/Iyana+Ipaja+Bus+Garage/data=!4m7!3m6!1s0x103b9102f54d5e6d:0xa40bdcefb01a8913!8m2!3d6.61817!4d3.29922!16s%2Fg%2F1tdhvn3w!19sChIJbV5N9QKROxARE4kasO_cC6Q,Bus stop,"Alimosho 102213, Lagos, Nigeria",Agege
