title,placeUrl,category,address,LGA
"Oja Bus-Stop, Estate Market","https://www.google.com/maps/place/Oja+Bus-Stop,+Estate+Market/data=!4m7!3m6!1s0x103b8eff98235cf7:0x69695d8c0833efb0!8m2!3d6.5249931!4d3.3002335!16s%2Fg%2F1pztnmcbf!19sChIJ91wjmP-OOxARsO8zCIxdaWk",Bus stop,"Rd 6, Ejigbo 102214, Lagos, Nigeria",Oshodi-Isolo
Iyana Isolo Bus Stop,https://www.google.com/maps/place/Iyana+Isolo+Bus+Stop/data=!4m7!3m6!1s0x103b8e791a4afcf9:0xa23c8c588e15cc1c!8m2!3d6.53175!4d3.335893!16s%2Fg%2F11pw50230h!19sChIJ-fxKGnmOOxARHMwVjliMPKI,Bus stop,"Isolo 102214, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Moshalasi Bus Stop,https://www.google.com/maps/place/Moshalasi+Bus+Stop/data=!4m7!3m6!1s0x103b8ef8b4dce0bb:0xddcf401e4fad069f!8m2!3d6.523748!4d3.3037117!16s%2Fg%2F1jkxxkxtk!19sChIJu-DctPiOOxARnwatTx5Az90,Bus stop,"Road A, Ejigbo 102214, Lagos, Nigeria",Oshodi-Isolo
Orilowo Estate Bus-Stop,https://www.google.com/maps/place/Orilowo+Estate+Bus-Stop/data=!4m7!3m6!1s0x103b8e4a64742f23:0x4d94b10c2479ce0e!8m2!3d6.5452955!4d3.3014667!16s%2Fg%2F1tnxyssf!19sChIJIy90ZEqOOxARDs55JAyxlE0,Bus stop,"Fadu Ave, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ebenezer Bus Stop,https://www.google.com/maps/place/Ebenezer+Bus+Stop/data=!4m7!3m6!1s0x103b8e3450ff6bdf:0xf69971acf31c7ad6!8m2!3d6.5493778!4d3.3015954!16s%2Fg%2F1tg5r5pj!19sChIJ32v_UDSOOxAR1noc86xxmfY,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ago Roundabout,https://www.google.com/maps/place/Ago+Roundabout/data=!4m7!3m6!1s0x103b8e8d2996e62f:0x8251d9d356b33601!8m2!3d6.5166755!4d3.3191264!16s%2Fg%2F1td3b7mq!19sChIJL-aWKY2OOxARATazVtPZUYI,Bus stop,"Okota Rd, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Junction Bus Stop,https://www.google.com/maps/place/Junction+Bus+Stop/data=!4m7!3m6!1s0x103b8e56b9e6cc21:0x8e83396b9cd40368!8m2!3d6.5294241!4d3.3046666!16s%2Fg%2F1jky0mrmr!19sChIJIczmuVaOOxARaAPUnGs5g44,Bus stop,"Isheri Oshun Rd, Ejigbo 102214, Lagos, Nigeria",Oshodi-Isolo
Century Bus Stop,https://www.google.com/maps/place/Century+Bus+Stop/data=!4m7!3m6!1s0x103b8ee8e982f8c7:0x595da5ef998b96ea!8m2!3d6.5073686!4d3.3102808!16s%2Fg%2F11b88j8xqn!19sChIJx_iC6eiOOxAR6paLme-lXVk,Bus stop,"2 Ago Palace Way, Ilasamaja 102214, Lagos, Nigeria",Oshodi-Isolo
Ile Iwe Bus Stop,https://www.google.com/maps/place/Ile+Iwe+Bus+Stop/data=!4m7!3m6!1s0x103b8e5641b0f8fd:0x5eb4b821a05cbb9d!8m2!3d6.5263995!4d3.3050099!16s%2Fg%2F1jky3pbv8!19sChIJ_fiwQVaOOxARnbtcoCG4tF4,Bus stop,"Rd 2, Ejigbo 102214, Lagos, Nigeria",Oshodi-Isolo
Jakande Gate Bus Stop.,https://www.google.com/maps/place/Jakande+Gate+Bus+Stop./data=!4m7!3m6!1s0x103b8f39114565ff:0xc629521046f1679b!8m2!3d6.530053!4d3.3084109!16s%2Fg%2F11fj0l_9lb!19sChIJ_2VFETmPOxARm2fxRhBSKcY,School bus service,"LCDA, Jakande Gate Bus Stop, Egbe Rd, Ejigbo, Lagos, Nigeria",Oshodi-Isolo
