title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
C.M.S Grammar School Bus Stop,https://www.google.com/maps/place/C.M.S+Grammar+School+Bus+Stop/data=!4m7!3m6!1s0x103b8d1ab867c5c9:0xb4a123f6038809b8!8m2!3d6.5337038!4d3.3900413!16s%2Fg%2F11h0bcst0!19sChIJycVnuBqNOxARuAmIA_YjobQ,Bus stop,"Victoria St, Akoka 102216, Lagos, Nigeria",Somolu,12161,72580,15201,25155,16614
Nitel,https://www.google.com/maps/place/Nitel/data=!4m7!3m6!1s0x103b8d0031aac76d:0x3fccf14e8b12bc5d!8m2!3d6.5251923!4d3.3812571!16s%2Fg%2F11h021pb3!19sChIJbceqMQCNOxARXbwSi07xzD8,Bus stop,"Fola Agoro St, Somolu 101245, Lagos, Nigeria",Somolu,12086,65926,11078,27013,13838
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8d69ee460b7d:0xee61a6b653230d9d!8m2!3d6.5516804!4d3.3985269!16s%2Fg%2F1ptx_n6g5!19sChIJfQtG7mmNOxARnQ0jU7amYe4,Bus stop,"Oworo Rd, Gbagada 105102, Lagos, Nigeria",Somolu,12139,71775,14396,22756,15615
Transformer Bus Stop,https://www.google.com/maps/place/Transformer+Bus+Stop/data=!4m7!3m6!1s0x103b8c532baf534f:0xbe23600962546295!8m2!3d6.524241!4d3.3718398!16s%2Fg%2F11h0m_r9p!19sChIJT1OvK1OMOxARlWJUYglgI74,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Somolu,14414,74833,17454,26394,22683
Obanikoro Bus Stop,https://www.google.com/maps/place/Obanikoro+Bus+Stop/data=!4m7!3m6!1s0x103b8d97cba19aa3:0x2d9b96650b8d2357!8m2!3d6.546877!4d3.3667831!16s%2Fg%2F1hhw6dbr_!19sChIJo5qhy5eNOxARVyONC2WWmy0,Bus stop,"Association Ave, Mushin 102215, Ikeja, Lagos, Nigeria",Somolu,9430,70528,8543,24360,20846
Ifako,https://www.google.com/maps/place/Ifako/data=!4m7!3m6!1s0x103b8d6c3ca09a89:0xdd393fb3ab47de52!8m2!3d6.5499535!4d3.3925468!16s%2Fg%2F1ptvrkpvs!19sChIJiZqgPGyNOxARUt5Hq7M_Od0,Bus stop,"Apapa Oworonshoki Expy, Somolu 102216, Lagos, Nigeria",Somolu,8072,68491,11112,23005,21306
Gbagada Bus Stop,https://www.google.com/maps/place/Gbagada+Bus+Stop/data=!4m7!3m6!1s0x103b8d72693e4c13:0x2a6b0ecf9098b957!8m2!3d6.549335!4d3.388231!16s%2Fg%2F1tzhz9jl!19sChIJE0w-aXKNOxARV7mYkM8Oayo,Bus stop,"Apapa Oworonshoki Expy, Araromi 105102, Lagos, Nigeria",Somolu,8165,68585,11205,23098,21400
Fadeyi,https://www.google.com/maps/place/Fadeyi/data=!4m7!3m6!1s0x103b8db2cf37be6b:0x6ab0f0205743b726!8m2!3d6.5247261!4d3.3676201!16s%2Fg%2F1tk04kkr!19sChIJa743z7KNOxARJrdDVyDwsGo,Bus stop,"Ikorodu-Ososun Rd, Somolu 102216, Lagos, Nigeria",Somolu,13221,66202,9571,28149,15894
Igi Olugbin Road,https://www.google.com/maps/place/Igi+Olugbin+Road/data=!4m7!3m6!1s0x103b8d0eb64ca7bd:0x62c9ce2e125cb6b6!8m2!3d6.5391452!4d3.3847064!16s%2Fg%2F11ckqmcjly!19sChIJvadMtg6NOxARtrZcEi7OyWI,Bus stop,"Igi Olugbin St, Somolu 102216, Lagos, Nigeria",Somolu,10142,71239,13860,25074,17770
New Garage,https://www.google.com/maps/place/New+Garage/data=!4m7!3m6!1s0x103b8d6c486741eb:0x3be99c18cee21315!8m2!3d6.5494282!4d3.3922834!16s%2Fg%2F1jkxtd8ff!19sChIJ60FnSGyNOxARFRPizhic6Ts,Bus stop,"Oshodi Oworonshoki Express Road, Abule Okuta 102216, Lagos, Nigeria",Somolu,10760,71179,13800,23862,16456
