title,placeUrl,category,address,LGA
Estate Junction,https://www.google.com/maps/place/Estate+Junction/data=!4m7!3m6!1s0x103be922ddf1785f:0xe6804ccf5937f42e!8m2!3d6.6703406!4d3.5319114!16s%2Fg%2F11cfg70wd!19sChIJX3jx3SLpOxARLvQ3Wc9MgOY,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Oriwu Junction Ikorodu,https://www.google.com/maps/place/Oriwu+Junction+Ikorodu/data=!4m7!3m6!1s0x103bee81e9d99289:0x97917383c30d7c95!8m2!3d6.61283!4d3.50118!16s%2Fg%2F11rp6bbr19!19sChIJiZLZ6YHuOxARlXwNw4NzkZc,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
AB CLOTHINGS,https://www.google.com/maps/place/AB+CLOTHINGS/data=!4m7!3m6!1s0x103bed07e64aab41:0xf652c121e4c108a2!8m2!3d6.625942!4d3.484269!16s%2Fg%2F11jhtrh0nl!19sChIJQatK5gftOxARogjB5CHBUvY,Parking garage,"339 ISAWO ROAD,OPEOLUWA BUS STOP,ISAWO, AGRIC, Ikorodu, Nigeria",Ikorodu
Ketu Bus Stop,https://www.google.com/maps/place/Ketu+Bus+Stop/data=!4m7!3m6!1s0x103b92f0ec2db985:0xc297e61952a0c54f!8m2!3d6.597497!4d3.386115!16s%2Fg%2F1tfw053d!19sChIJhbkt7PCSOxART8WgUhnml8I,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Ikorodu
Irawo Bus Stop,https://www.google.com/maps/place/Irawo+Bus+Stop/data=!4m7!3m6!1s0x103becd57f4dfa5b:0xc03af713dd7a9986!8m2!3d6.609795!4d3.4220411!16s%2Fg%2F1th3qntn!19sChIJW_pNf9XsOxARhpl63RP3OsA,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Ikorodu
Olutoye,https://www.google.com/maps/place/Olutoye/data=!4m7!3m6!1s0x103beb8a3f4cea17:0xbb15c6ed9f6227c!8m2!3d6.6533224!4d3.4762931!16s%2Fg%2F11_smn308!19sChIJF-pMP4rrOxARfCL22W5csQs,Bus stop,"Owutu-Isawo Rd, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Ikorodu Lagos,https://www.google.com/maps/place/Ikorodu+Lagos/data=!4m7!3m6!1s0x103bef231cf354a7:0x5e4081690f9ed9b2!8m2!3d6.6228417!4d3.5704942!16s%2Fg%2F11hkww3yl0!19sChIJp1TzHCPvOxARstmeD2mBQF4,Bus charter,"Ikorodu 104101, Lagos, Nigeria",Ikorodu
Owode Bus Stop,https://www.google.com/maps/place/Owode+Bus+Stop/data=!4m7!3m6!1s0x103b93283e482551:0xfe77572120e0d1e3!8m2!3d6.6108716!4d3.411482!16s%2Fg%2F1tm3m1vb!19sChIJUSVIPiiTOxAR49HgICFXd_4,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Ikorodu
Agbede,https://www.google.com/maps/place/Agbede/data=!4m7!3m6!1s0x103beb8bf64410ad:0x5bb8a6df3d34bd24!8m2!3d6.6568923!4d3.4759283!16s%2Fg%2F11gzc54qq!19sChIJrRBE9ovrOxARJL00Pd-muFs,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Ijede,https://www.google.com/maps/place/Ijede/data=!4m7!3m6!1s0x103bfab4be66b9b7:0x4e132e02c0cdb7b1!8m2!3d6.5643!4d3.59747!16s%2Fg%2F1pt_gxv9r!19sChIJt7lmvrT6OxARsbfNwAIuE04,Bus station,"Ikorodu 104102, Oyewaw, Lagos, Nigeria",Ikorodu
