title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Idejo,https://www.google.com/maps/place/Idejo/data=!4m7!3m6!1s0x103b8ad04fd27b8f:0xf1969cf687d06fa7!8m2!3d6.430327!4d3.411501!16s%2Fg%2F11n38nksx0!19sChIJj3vST9CKOxARp2_Qh_aclvE,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Post Office Bus Stop,https://www.google.com/maps/place/Post+Office+Bus+Stop/data=!4m7!3m6!1s0x103b8c80cc3429d1:0xc1acf56f7befaaa2!8m2!3d6.486732!4d3.3808118!16s%2Fg%2F1hhxc5kj0!19sChIJ0Sk0zICMOxARoqrve2_1rME,Bus stop,"Lagos St, Ebute Metta 101245, Lagos, Nigeria",Lagos Island,19880,64208,22920,31859,9590
NTA,https://www.google.com/maps/place/NTA/data=!4m7!3m6!1s0x103b8acf4f612787:0x837b806f170094cf!8m2!3d6.42371!4d3.41032!16s%2Fg%2F1ptw1zyy0!19sChIJhydhT8-KOxARz5QAF2-Ae4M,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Warehouse,https://www.google.com/maps/place/Warehouse/data=!4m7!3m6!1s0x103b8bacdcbd11f9:0x5946b822f65096f3!8m2!3d6.4403149!4d3.3722018!16s%2Fg%2F11r6y6zzkw!19sChIJ-RG93KyLOxAR85ZQ9iK4Rlk,Bus stop,"Apapa Quays 102272, Ikeja, Lagos, Nigeria",Lagos Island,20372,61136,22608,35299,10828
Oduduwa Bus Stop,https://www.google.com/maps/place/Oduduwa+Bus+Stop/data=!4m7!3m6!1s0x103b8bcb02705fd5:0x51c51bd40c5afaa2!8m2!3d6.441238!4d3.356532!16s%2Fg%2F1hhxrw2pz!19sChIJ1V9wAsuLOxARovpaDNQbxVE,Bus stop,"Oduduwa Rd, Apapa Quays 102272, Lagos, Nigeria",Lagos Island,20775,60533,22005,35703,11231
Flour Mill,https://www.google.com/maps/place/Flour+Mill/data=!4m7!3m6!1s0x103b8baef068ad7f:0x7b771e92acd4e4a0!8m2!3d6.4465194!4d3.3721587!16s%2Fg%2F11n38vz757!19sChIJf61o8K6LOxARoOTUrJIed3s,Bus stop,"Apapa Quays 102272, Ikeja, Lagos, Nigeria",Lagos Island,20372,61136,22608,35299,10828
Costain Bus Stop,https://www.google.com/maps/place/Costain+Bus+Stop/data=!4m7!3m6!1s0x103b8b886b019785:0xa17e775418642220!8m2!3d6.4803796!4d3.3680288!16s%2Fg%2F11rp69z6n5!19sChIJhZcBa4iLOxARICJkGFR3fqE,Bus stop,"Ijora Olopa 101245, Ikeja, Lagos, Nigeria",Lagos Island,18477,62284,15513,33404,7061
Iyana Ajegunle Bus Stop,https://www.google.com/maps/place/Iyana+Ajegunle+Bus+Stop/data=!4m7!3m6!1s0x103b8be5fb50bbef:0xfe81184d0f3f46b7!8m2!3d6.4663839!4d3.3484163!16s%2Fg%2F11bbrg_t_d!19sChIJ77tQ--WLOxARt0Y_D00Ygf4,Bus stop,"Olumokun St, Malu 102103, Ikeja, Lagos, Nigeria",Lagos Island,20579,58430,19906,35507,12479
Apena Bus Stop,https://www.google.com/maps/place/Apena+Bus+Stop/data=!4m7!3m6!1s0x103b8c86bb50a4c3:0xd38ee94a77ce63e8!8m2!3d6.4880538!4d3.3835799!16s%2Fg%2F1hhwv7n7t!19sChIJw6RQu4aMOxAR6GPOd0rpjtM,Bus stop,"Lagos St, Ebute Metta 101245, Lagos, Nigeria",Lagos Island,19880,64208,22920,31859,9590
Liverpool Bus Stop,https://www.google.com/maps/place/Liverpool+Bus+Stop/data=!4m7!3m6!1s0x103b8bb55a6f1825:0xb04d978733506b25!8m2!3d6.4400917!4d3.3594668!16s%2Fg%2F1wvvbghy!19sChIJJRhvWrWLOxARJWtQM4eXTbA,Bus stop,"Apapa 102272, Lagos, Nigeria",Lagos Island,23638,62746,24218,38566,14094
Anifowose,https://www.google.com/maps/place/Anifowose/data=!4m7!3m6!1s0x103b8ad23207e497:0xa70d4d4217b35df5!8m2!3d6.430715!4d3.415141!16s%2Fg%2F11ppcwmt0d!19sChIJl-QHMtKKOxAR9V2zF0JNDac,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Osborne Foreshore,https://www.google.com/maps/place/Osborne+Foreshore/data=!4m7!3m6!1s0x103bf4b7af882ff5:0x17afebec9008a4a1!8m2!3d6.46229!4d3.42775!16s%2Fg%2F11rp69vrr2!19sChIJ9S-Ir7f0OxARoaQIkOzrrxc,Bus stop,"Ikoyi 106104, Lagos, Nigeria",Lagos Island,26772,69621,29812,38752,4080
Salt River Bus Stop,https://www.google.com/maps/place/Salt+River+Bus+Stop/data=!4m7!3m6!1s0x103b8bcc987c4b15:0x1c99c81ba193516a!8m2!3d6.440798!4d3.353542!16s%2Fg%2F1hhvkm_mh!19sChIJFUt8mMyLOxARalGToRvImRw,Bus stop,"Marina Road, Apapa 102272, Lagos, Nigeria",Lagos Island,21523,61572,23044,36451,11979
Oniru Beach,https://www.google.com/maps/place/Oniru+Beach/data=!4m7!3m6!1s0x103b8ad52e972133:0x8d393d089f080230!8m2!3d6.436731!4d3.419189!16s%2Fg%2F1hhwqhll1!19sChIJMyGXLtWKOxARMAIInwg9OY0,Bus stop,"Ozumba Mbadiwe St, Eti-Osa 106104, Lagos, Nigeria",Lagos Island,26690,67345,29730,38669,3180
Bishop Oluwole,https://www.google.com/maps/place/Bishop+Oluwole/data=!4m7!3m6!1s0x103b8ac945a92b13:0xd82d7ab16cf05892!8m2!3d6.42224!4d3.4137!16s%2Fg%2F1ptx_4ndj!19sChIJEyupRcmKOxARkljwbLF6Ldg,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Landmark Events,https://www.google.com/maps/place/Landmark+Events/data=!4m7!3m6!1s0x103bf5114bf06855:0x53e748a673994c1f!8m2!3d6.423863!4d3.445058!16s%2Fg%2F11ppcx0mwq!19sChIJVWjwSxH1OxARH0yZc6ZI51M,Bus stop,"Maroko 106104, Lagos, Nigeria",Lagos Island,33739,74395,36779,45719,10230
Beecroft,https://www.google.com/maps/place/Beecroft/data=!4m7!3m6!1s0x103b8b3d59afe5cb:0x68e802fcf42ea142!8m2!3d6.4505177!4d3.3995687!16s%2Fg%2F11n38y3vwg!19sChIJy-WvWT2LOxARQqEu9PwC6Gg,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Greenland Bus Stop,https://www.google.com/maps/place/Greenland+Bus+Stop/data=!4m7!3m6!1s0x103b8bd75608bc4f:0x743effc92477ddba!8m2!3d6.4500491!4d3.3435988!16s%2Fg%2F11h05d1pq!19sChIJT7wIVteLOxARut13JMn_PnQ,Bus stop,"Gbadesere Street, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Lagos Island,26206,57477,18953,41135,11717
