title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Ikota,https://www.google.com/maps/place/Ikota/data=!4m7!3m6!1s0x103bf71112ae0bdf:0x4b9fb991a4e18451!8m2!3d6.452036!4d3.554681!16s%2Fg%2F11b6b8mq10!19sChIJ3wuuEhH3OxARUYThpJG5n0s,Bus stop,"Aja 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,48177,90314,51217,60157,26149
Maruwa (2Nd Roundabout Lekki),https://www.google.com/maps/place/Maruwa+%282Nd+Roundabout+Lekki%29/data=!4m7!3m6!1s0x103bf5ae298cedd5:0x96ad90a8752974f5!8m2!3d6.431!4d3.469947!16s%2Fg%2F11hf00w8nw!19sChIJ1e2MKa71OxAR9XQpdaiQrZY,Bus station,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Elemu Bus Stop,https://www.google.com/maps/place/Elemu+Bus+Stop/data=!4m7!3m6!1s0x103be579506be9fb:0x53f91cf6340a0a3b!8m2!3d6.60344!4d3.5869!16s%2Fg%2F11rp69z6ng!19sChIJ--lrUHnlOxAROwoKNPYc-VM,Bus stop,"Ikorodu 104102, Mowo Kekere, Lagos, Nigeria",Ibeju Lekki,35975,99309,41930,11952,48847
Lekki Phase1,https://www.google.com/maps/place/Lekki+Phase1/data=!4m7!3m6!1s0x103bf50173b861dd:0x8e6ffb44b7b790d!8m2!3d6.435606!4d3.455913!16s%2Fg%2F11fp8w_x5g!19sChIJ3WG4cwH1OxARDXl7S7T_5gg,Bus station,"Lekki Phase I 106104, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Jubilee Estate,https://www.google.com/maps/place/Jubilee+Estate/data=!4m7!3m6!1s0x103beebbada78b0b:0x40cbeb52b4256af6!8m2!3d6.637893!4d3.5135!16s%2Fg%2F11ppczqdy5!19sChIJC4unrbvuOxAR9moltFLry0A,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ibeju Lekki,30949,94283,36904,6927,43822
Durosinmi Etti,https://www.google.com/maps/place/Durosinmi+Etti/data=!4m7!3m6!1s0x103bf5b368f24cf3:0xe03c42aac651a8d3!8m2!3d6.43706!4d3.47436!16s%2Fg%2F11ppcvs_mz!19sChIJ80zyaLP1OxAR06hRxqpCPOA,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Itoikin Market,https://www.google.com/maps/place/Itoikin+Market/data=!4m7!3m6!1s0x10395ece21fc11ed:0xdc6cd80c66870ba9!8m2!3d6.65602!4d3.79461!16s%2Fg%2F11pw506pt3!19sChIJ7RH8Ic5eORARqQuHZgzYbNw,Bus stop,"106103, Itokin, Lagos, Nigeria",Ibeju Lekki,110535,181716,124337,40398,130926
Agungi,https://www.google.com/maps/place/Agungi/data=!4m7!3m6!1s0x103bf661e7134a3f:0xaf0af256aa42275e!8m2!3d6.4378049!4d3.5166148!16s%2Fg%2F1hhvmrwd_!19sChIJP0oT52H2OxARXidCqlbyCq8,Bus stop,"47A, Agungi Ajiran road, Agungi bus stop, Lekki - Epe Expy, Eti-Osa 104106, Lekki, Lagos, Nigeria",Ibeju Lekki,36948,79085,39988,48928,14920
Oniru Estate Bus Stop,https://www.google.com/maps/place/Oniru+Estate+Bus+Stop/data=!4m7!3m6!1s0x103bf502eae3cc53:0x16d9112de62ffd0a!8m2!3d6.437283!4d3.451255!16s%2Fg%2F1hhxh6l2s!19sChIJU8zj6gL1OxARCv0v5i0R2RY,Bus stop,"Ozumba Mbadiwe Ave, Victoria Island 106104, Lagos, Nigeria",Ibeju Lekki,27946,68601,30986,39925,4436
Road 15,https://www.google.com/maps/place/Road+15/data=!4m7!3m6!1s0x103bf4503e2121d9:0xbf341c3d99d48398!8m2!3d6.44792!4d3.468992!16s%2Fg%2F11r6y02bq4!19sChIJ2SEhPlD0OxARmIPUmT0cNL8,Bus stop,"Eti-Osa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,40552,82689,43592,52532,18524
Kith and Kin Bus Stop,https://www.google.com/maps/place/Kith+and+Kin+Bus+Stop/data=!4m7!3m6!1s0x103bf275a93a9b6b:0xf0302866269e05d3!8m2!3d6.5641191!4d3.4773345!16s%2Fg%2F11bwbwr0lg!19sChIJa5s6qXXyOxAR0wWeJmYoMPA,Bus stop,"Kaoli Olusanyanya Street, Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ibeju Lekki,28545,91879,34500,8444,41418
Abule Eko Bus Stop,https://www.google.com/maps/place/Abule+Eko+Bus+Stop/data=!4m7!3m6!1s0x103be55b7760552d:0x74904d280b672070!8m2!3d6.58086!4d3.58909!16s%2Fg%2F11snt0wpnf!19sChIJLVVgd1vlOxARcCBnCyhNkHQ,Bus stop,"Ikorodu 104102, Ijede, Lagos, Nigeria",Ibeju Lekki,38981,102315,44936,14958,51853
