title,placeUrl,category,address,LGA
Akilo Bus Stop,https://www.google.com/maps/place/Akilo+Bus+Stop/data=!4m7!3m6!1s0x103b8d0f0e31f451:0x59e7582a9be4ed2c!8m2!3d6.536754!4d3.386419!16s%2Fg%2F113gm8856!19sChIJUfQxDg-NOxARLO3kmypY51k,Bus stop,"Tapa Street, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Kajola Bus Stop,https://www.google.com/maps/place/Kajola+Bus+Stop/data=!4m7!3m6!1s0x103b8d0ee280d0ff:0xc4220aa51e13bad8!8m2!3d6.5376369!4d3.385967!16s%2Fg%2F113dz54_n!19sChIJ_9CA4g6NOxAR2LoTHqUKIsQ,Bus stop,"Igi Olugbin St, Bariga 102216, Lagos, Nigeria",Lagos Mainland
Onipanu Bus Stop,https://www.google.com/maps/place/Onipanu+Bus+Stop/data=!4m7!3m6!1s0x103b8db07b5fc671:0xe373564e85822afa!8m2!3d6.5345272!4d3.366926!16s%2Fg%2F1hhw8wr9k!19sChIJccZfe7CNOxAR-iqChU5Wc-M,Bus stop,"Mushin 102215, Lagos, Nigeria",Lagos Mainland
Popola Bus Stop,https://www.google.com/maps/place/Popola+Bus+Stop/data=!4m7!3m6!1s0x103b8d0a0be94e4f:0x8448c2fd3ba40aa3!8m2!3d6.5414156!4d3.37946!16s%2Fg%2F11g_bsmhn!19sChIJT07pCwqNOxARowqkO_3CSIQ,Bus stop,"Igi Olugbin St, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Broad Street BRT,https://www.google.com/maps/place/Broad+Street+BRT/data=!4m7!3m6!1s0x103b8b10466771d1:0x3262367ecd275580!8m2!3d6.451632!4d3.390706!16s%2Fg%2F1hhjcjnkm!19sChIJ0XFnRhCLOxARgFUnzX42YjI,Bus stop,"Nnamdi Azikwe St, Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Famous Bus Stop,https://www.google.com/maps/place/Famous+Bus+Stop/data=!4m7!3m6!1s0x103b8da1bd288cfb:0xff52d8e4e7202475!8m2!3d6.5437499!4d3.3755708!16s%2Fg%2F1hhpc8109!19sChIJ-4wovaGNOxARdSQg5-TYUv8,Bus stop,"Igi Olugbin Road, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Idi Oro Bus Stop,https://www.google.com/maps/place/Idi+Oro+Bus+Stop/data=!4m7!3m6!1s0x103b8c4b36d0cac7:0x2a552efbe5072dbb!8m2!3d6.5239452!4d3.3625889!16s%2Fg%2F1vzsh_j6!19sChIJx8rQNkuMOxARuy0H5fsuVSo,Bus stop,"08096196617, Ikeolu St, Lagos, Nigeria",Lagos Mainland
Apata Bus Stop,https://www.google.com/maps/place/Apata+Bus+Stop/data=!4m7!3m6!1s0x103b8daf280ef1ef:0xfd7140a0564f63e6!8m2!3d6.532462!4d3.3735618!16s%2Fg%2F11h1c1pn3!19sChIJ7_EOKK-NOxAR5mNPVqBAcf0,Bus stop,"Somolu 102216, Lagos, Nigeria",Lagos Mainland
Leventis,https://www.google.com/maps/place/Leventis/data=!4m7!3m6!1s0x103b8b09882704ed:0x1585a362e321b4cb!8m2!3d6.45516!4d3.38099!16s%2Fg%2F12lktnqvd!19sChIJ7QQniAmLOxARy7Qh42KjhRU,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Obalende Bus Stop,https://www.google.com/maps/place/Obalende+Bus+Stop/data=!4m7!3m6!1s0x103b8b3a92b66e03:0xce9f02397d04538c!8m2!3d6.4515869!4d3.408224!16s%2Fg%2F1hhxshld0!19sChIJA262kjqLOxARjFMEfTkCn84,Bus stop,"Ring Rd, Lagos Island 106104, Lagos, Nigeria",Lagos Mainland
