title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
BRT terminal,https://www.google.com/maps/place/BRT+terminal/data=!4m7!3m6!1s0x103b910c92908989:0x25d2a0af9acdac00!8m2!3d6.5917348!4d3.3391051!16s%2Fg%2F11h__h1r2z!19sChIJiYmQkgyROxARAKzNmq-g0iU,Transportation service,"H8RQ+MJX, Ikeja LGA's Mosqus, Adegbola Street, Ikeja, Nigeria",Ikeja,4276,71370,10775,26281,26054
Barracks Bus Stop,https://www.google.com/maps/place/Barracks+Bus+Stop/data=!4m7!3m6!1s0x103b917cd4f2a3cf:0x6069469bcf09a0b2!8m2!3d6.620499!4d3.3362067!16s%2Fg%2F1tjh1ctl!19sChIJz6Py1HyROxARsqAJz5tGaWA,Bus stop,"Akilo Street, Agege 101233, Lagos, Nigeria",Ikeja,4946,66485,14258,25252,28113
Cele Bus Stop,https://www.google.com/maps/place/Cele+Bus+Stop/data=!4m7!3m6!1s0x103b91af09464397:0x4ad083a19a4e2c75!8m2!3d6.6025678!4d3.3090949!16s%2Fg%2F11h0vzzhc!19sChIJl0NGCa-ROxARdSxOmqGD0Eo,Bus stop,"Alimosho 102213, Lagos, Nigeria",Ikeja,21640,49138,9620,42204,36204
B.R.T Station,https://www.google.com/maps/place/B.R.T+Station/data=!4m7!3m6!1s0x103b93971f02af85:0x5ed9b4ee4d9622cf!8m2!3d6.6349071!4d3.3667986!16s%2Fg%2F11c1p5h3vq!19sChIJha8CH5eTOxARzyKWTe602V4,Bus charter,"J9M8+XP7, Expressway1, Isheri 101233, Ikeja, Lagos, Nigeria",Ikeja,8380,79561,22182,25911,28771
Irawo Bus Stop,https://www.google.com/maps/place/Irawo+Bus+Stop/data=!4m7!3m6!1s0x103becd57f4dfa5b:0xc03af713dd7a9986!8m2!3d6.609795!4d3.4220411!16s%2Fg%2F1th3qntn!19sChIJW_pNf9XsOxARhpl63RP3OsA,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Ikeja,6109,69377,11997,21041,21878
Under Bridge,https://www.google.com/maps/place/Under+Bridge/data=!4m7!3m6!1s0x103b8e0c75a644b5:0x20b2bc31ec5ac8b!8m2!3d6.549804!4d3.333744!16s%2Fg%2F11hf00wz8x!19sChIJtUSmdQyOOxARi6zFHsMrCwI,Bus station,"Ajao Estate 102214, Ikeja, Lagos, Nigeria",Ikeja,12163,64815,3712,27093,23579
Onigbongbo Bus Stop,https://www.google.com/maps/place/Onigbongbo+Bus+Stop/data=!4m7!3m6!1s0x103b927134f46d07:0x2771b9c41c4a512f!8m2!3d6.5725708!4d3.3655661!16s%2Fg%2F1hhvpwllj!19sChIJB230NHGSOxARL1FKHMS5cSc,Bus stop,"Mobolaji Bank Anthony Way, Maryland 101233, Lagos, Nigeria",Ikeja,3926,70434,13055,22154,22935
Ogba Bus Stop,https://www.google.com/maps/place/Ogba+Bus+Stop/data=!4m7!3m6!1s0x103b93e05fb88625:0x70ada06536230a50!8m2!3d6.6394141!4d3.3322259!16s%2Fg%2F1hhw639w_!19sChIJJYa4X-CTOxARUAojNmWgrXA,Bus stop,"29, College Road, Alhaji Haruna Bus-Stop(Beside Mr. Biggs), Ogba,, Ikeja, Lagos, Nigeria",Ikeja,7531,68057,17371,27072,29933
Agbo Bus Stop,https://www.google.com/maps/place/Agbo+Bus+Stop/data=!4m7!3m6!1s0x103b8bbc16112d4b:0x171360477f451f78!8m2!3d6.45655!4d3.36497!16s%2Fg%2F11pw50cv0s!19sChIJSy0RFryLOxAReB9Ff0dgExc,Bus stop,"Ijora 102272, Ikeja, Lagos, Nigeria",Ikeja,18678,62702,15715,33606,8801
Ojuelegba,https://www.google.com/maps/place/Ojuelegba/data=!4m7!3m6!1s0x103b8c4664922a49:0xa982e06ecd94426c!8m2!3d6.511567!4d3.363345!16s%2Fg%2F11fp8kylhq!19sChIJSSqSZEaMOxARbEKUzW7ggqk,Bus station,"Idi Oro 101241, Ikeja, Lagos, Nigeria",Ikeja,14927,65240,7456,29855,14282
Mile 12 Bus Stop,https://www.google.com/maps/place/Mile+12+Bus+Stop/data=!4m7!3m6!1s0x103b92e09d240545:0x433bc4f437fa4e01!8m2!3d6.6061221!4d3.3992395!16s%2Fg%2F11gdrf9yt7!19sChIJRQUkneCSOxARAU76N_TEO0M,Bus station,"Along Ikorodu Ketu Express Way, Lagos, Nigeria",Ikeja,10021,76237,18858,16744,25237
Oke-Afa Bus-Stop,https://www.google.com/maps/place/Oke-Afa+Bus-Stop/data=!4m7!3m6!1s0x103b8e5be76a585b:0x1516d0703c3bb275!8m2!3d6.530554!4d3.3125281!16s%2Fg%2F1td0k41t!19sChIJW1hq51uOOxARdbI7PHDQFhU,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Ikeja,15686,58091,,30616,27102
Iyana Ipaja Round About Bus Stop,https://www.google.com/maps/place/Iyana+Ipaja+Round+About+Bus+Stop/data=!4m7!3m6!1s0x103b91f615f26d45:0x6fe1cb62ba745845!8m2!3d6.6178784!4d3.2992613!16s%2Fg%2F11qpzn1rs6!19sChIJRW3yFfaROxARRVh0umLL4W8,Bus depot,"Ipaja Rd, Alagba 102213, Lagos, Nigeria",Ikeja,11028,60862,14435,31592,31426
Berger Bus-Stop,https://www.google.com/maps/place/Berger+Bus-Stop/data=!4m7!3m6!1s0x103bd1f3e91f564d:0x15354cf6c01de3e1!8m2!3d6.6395189!4d3.3710171!16s%2Fg%2F11ff4zzr7v!19sChIJTVYf6fPROxAR4eMdwPZMNRU,Toll road rest stop,"Olowora 105102, Ojodu Berger, Lagos, Nigeria",Ikeja,7670,78851,21472,25200,28061
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8cfdf363ae91:0x780b2743722fe60a!8m2!3d6.5240705!4d3.3855379!16s%2Fg%2F11g_5xgtq!19sChIJka5j8_2MOxARCuYvckMnC3g,Bus stop,"Oluwole St, Yaba 102216, Lagos, Nigeria",Ikeja,14078,66386,11538,29006,13760
Alafia Bus Stop,https://www.google.com/maps/place/Alafia+Bus+Stop/data=!4m7!3m6!1s0x103b89641b388275:0x6526285211bab991!8m2!3d6.47336!4d3.3377966!16s%2Fg%2F12hs17pw6!19sChIJdYI4G2SJOxARkbm6EVIoJmU,Bus stop,"Mba St, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ikeja,24996,56267,17743,39925,11707
First Gate Bus Stop,https://www.google.com/maps/place/First+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b891f9e5e23db:0x33730b011900e2d6!8m2!3d6.4599423!4d3.3009839!16s%2Fg%2F1tf3l163!19sChIJ2yNenh-JOxAR1uIAGQELczM,Bus stop,"Lagos - Badagry Expy, Amuwo 102102, Lagos, Nigeria",Ikeja,25566,67757,22603,40494,17466
Shoprite,https://www.google.com/maps/place/Shoprite/data=!4m7!3m6!1s0x103b93c98f7d4d51:0xda9818122ced49f9!8m2!3d6.6155911!4d3.3571575!16s%2Fg%2F11ppcpxrl9!19sChIJUU19j8mTOxAR-UntLBIYmNo,Bus stop,"Agidingbi 101233, Ikeja, Lagos, Nigeria",Ikeja,3693,76571,19192,22921,25782
Cele Bus Terminal,"https://www.google.com/maps/place/Cele+Bus+Terminal/@6.5059999,3.3229673,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8e95cce45227:0xa938c7111bc461db!8m2!3d6.5059999!4d3.3229673!16s%2Fg%2F1tfh6p0t",Bus station,"Surulere 102214, Lagos, Nigeria",Ikeja,16570,58755,3847,33473,29963
Alapere (Estate Bus Stop),https://www.google.com/maps/place/Alapere+%28Estate+Bus+Stop%29/data=!4m7!3m6!1s0x103b92926a1c63d1:0xbbd884a45ce2c826!8m2!3d6.584564!4d3.3905!16s%2Fg%2F11fp8kz_rd!19sChIJ0WMcapKSOxARJsjiXKSE2Ls,Bus station,"Ketu 105102, Ikeja, Lagos, Nigeria",Ikeja,10021,76237,18858,16744,25237
Guinness Roundabout,https://www.google.com/maps/place/Guinness+Roundabout/data=!4m7!3m6!1s0x103b917d1e45a6eb:0xaf0cdb1fc1e6ec63!8m2!3d6.6169066!4d3.3355562!16s%2Fg%2F1q62hz77f!19sChIJ66ZFHn2ROxARY-zmwR_bDK8,,"J88P+Q67, Ogba Rd, Ogba 101233, Ikeja, Lagos, Nigeria",Ikeja,4407,66353,13719,27203,27985
