title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Iba Junction Bus Stop,https://www.google.com/maps/place/Iba+Junction+Bus+Stop/data=!4m7!3m6!1s0x103b844103a80117:0xe0bba19a05445fad!8m2!3d6.5064861!4d3.200731!16s%2Fg%2F1hhvm80vy!19sChIJFwGoA0GEOxARrV9EBZqhu-A,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Ojo Garage,https://www.google.com/maps/place/Ojo+Garage/data=!4m7!3m6!1s0x103b86ec6b60e4df:0x8dbe2f77bc26e6bb!8m2!3d6.457689!4d3.204005!16s%2Fg%2F11fp8kw6nz!19sChIJ3-Rga-yGOxARu-YmvHcvvo0,Bus station,"Ojo 102113, Alasia, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Post Service Bus Station,https://www.google.com/maps/place/Post+Service+Bus+Station/data=!4m7!3m6!1s0x103b869235530f67:0x28aeea4543cb1ece!8m2!3d6.4731584!4d3.2030243!16s%2Fg%2F1tj0y33z!19sChIJZw9TNZKGOxARzh7LQ0Xqrig,Bus station,"Iyana Iba Rd - Iba Rd, Ojo 102101, Lagos, Nigeria",Ojo,32691,43156,20671,52804,30219
PPL Bus Stop,"https://www.google.com/maps/place/PPL+Bus+Stop/@6.4643452,3.1986147,17z/data=!3m1!4b1!4m6!3m5!1s0x103b869582a3dacf:0x7a1bd422dca5cfb5!8m2!3d6.4643452!4d3.1986147!16s%2Fg%2F1ptz3lqvy",Bus stop,"Lagos - Badagry Expy, Ojo 102101, Lagos, Nigeria",Ojo,39972,38142,26505,54901,32316
1St Gate,https://www.google.com/maps/place/1St+Gate/data=!4m7!3m6!1s0x103b841f51a9dcab:0x403daaf265a517f1!8m2!3d6.488323!4d3.197646!16s%2Fg%2F1ptv_71dt!19sChIJq9ypUR-EOxAR8RelZfKqPUA,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Okokomaiko,https://www.google.com/maps/place/Okokomaiko/data=!4m7!3m6!1s0x103b8155e414d199:0xb00b016585da05c6!8m2!3d6.482192!4d3.173326!16s%2Fg%2F11b6c6214m!19sChIJmdEU5FWBOxARxgXahWUBC7A,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Yellow Corner,https://www.google.com/maps/place/Yellow+Corner/data=!4m7!3m6!1s0x103b86a89ba2f6b3:0xff6df57c0075da28!8m2!3d6.4794937!4d3.1876096!16s%2Fg%2F1tkrc1bb!19sChIJs_aim6iGOxARKNp1AHz1bf8,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Office bus stop,https://www.google.com/maps/place/Office+bus+stop/data=!4m7!3m6!1s0x103b8193aa40fe43:0xd8e5b72c00b381d!8m2!3d6.4608545!4d3.1764108!16s%2Fg%2F11rf7n1hw5!19sChIJQ_5AqpOBOxARHTgLwHJbjg0,Non-profit organization,"124 Ojo Igbede Rd, Ojo 102111, Lagos, Nigeria",Ojo,39738,43839,24847,54668,32083
504 Bus Stop,https://www.google.com/maps/place/504+Bus+Stop/data=!4m7!3m6!1s0x103b86eb039d9853:0xeab174aa64d38a84!8m2!3d6.459481!4d3.200827!16s%2Fg%2F11h84r8mfh!19sChIJU5idA-uGOxARhIrTZKp0seo,Bus station,"Ojo 102113, Alasia, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Pako (Ojo),https://www.google.com/maps/place/Pako+%28Ojo%29/data=!4m7!3m6!1s0x103b86f28dc25ba7:0x928dcae77f2dee45!8m2!3d6.45951!4d3.209092!16s%2Fg%2F11hf00x7pr!19sChIJp1vCjfKGOxARRe4tf-fKjZI,Bus station,"Ojo 102113, Alasia, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
