title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Ojuelegba,https://www.google.com/maps/place/Ojuelegba/data=!4m7!3m6!1s0x103b8c46645c8d91:0x2cfc70c8de1742bc!8m2!3d6.5109513!4d3.3632594!16s%2Fg%2F1hhxlv5wz!19sChIJkY1cZEaMOxARvEIX3shw_Cw,Bus stop,"104 Western Avenue, Idi Oro 101241, Lagos, Nigeria",Surulere,12947,62284,10893,27874,11326
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8c4d36d6d93b:0xce697a8e72019117!8m2!3d6.5239745!4d3.3675778!16s%2Fg%2F11gzqccp4!19sChIJO9nWNk2MOxARF5EBco56ac4,Bus stop,"Alakija St, Surulere 101245, Lagos, Nigeria",Surulere,11409,64101,9253,26336,13773
Coker Bus Stop,https://www.google.com/maps/place/Coker+Bus+Stop/data=!4m7!3m6!1s0x103b894e69566833:0x4d87230e80cff71d!8m2!3d6.4757044!4d3.3265932!16s%2Fg%2F1hhw79z2g!19sChIJM2hWaU6JOxARHffPgA4jh00,Bus stop,"Alli Olanipekun St, Surulere 102102, Lagos, Nigeria",Surulere,19703,73382,12450,34632,31119
Transformer Bus Stop,https://www.google.com/maps/place/Transformer+Bus+Stop/data=!4m7!3m6!1s0x103b8c532baf534f:0xbe23600962546295!8m2!3d6.524241!4d3.3718398!16s%2Fg%2F11h0m_r9p!19sChIJT1OvK1OMOxARlWJUYglgI74,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Surulere,14414,74833,17454,26394,22683
Doyin Bus Stop,https://www.google.com/maps/place/Doyin+Bus+Stop/data=!4m7!3m6!1s0x103b8bf782635761:0xaceeafaf6511af84!8m2!3d6.4793938!4d3.3494206!16s%2Fg%2F1q5blfc9n!19sChIJYVdjgveLOxARhK8RZa-v7qw,Bus stop,"Lagos - Badagry Expy, Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,19731,61922,16767,34659,11631
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8d3c7eb33785:0x2b54d6fc73fbbbfe!8m2!3d6.4956728!4d3.3617376!16s%2Fg%2F11h0bpy9tw!19sChIJhTezfjyNOxAR_rv7c_zWVCs,Bus company,"F9W6+7M9, Funsho Williams Ave, Yaba 101241, Lagos, Nigeria",Surulere,12044,63918,9081,26972,12960
Ijesha,https://www.google.com/maps/place/Ijesha/data=!4m7!3m6!1s0x103b8eb9e7552a2d:0xa7897ed827a2b359!8m2!3d6.4933007!4d3.3226586!16s%2Fg%2F1twt3pjd!19sChIJLSpV57mOOxARWbOiJ9h-iac,Bus stop,"Apapa Oworonshoki Expy, Amuwo Odofin 101241, Lagos, Nigeria",Surulere,20146,57078,12893,35076,31562
Ojuelegba Bus Station,https://www.google.com/maps/place/Ojuelegba+Bus+Station/data=!4m7!3m6!1s0x103b8c46eb9e9775:0x95d12e643781f983!8m2!3d6.5101121!4d3.3626526!16s%2Fg%2F11ppcvls4n!19sChIJdZee60aMOxARg_mBN2Qu0ZU,Bus stop,"Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Ogogoro,https://www.google.com/maps/place/Ogogoro/data=!4m7!3m6!1s0x103b8c142bd301a5:0x4f83d8d1636004ea!8m2!3d6.5002809!4d3.3541721!16s%2Fg%2F1tlz8gvq!19sChIJpQHTKxSMOxAR6gRgY9HYg08,Bus stop,"Alh. Masha Road, Surulere 101241, Lagos, Nigeria",Surulere,15528,60287,10759,30455,11919
Idowu Street,https://www.google.com/maps/place/Idowu+Street/data=!4m7!3m6!1s0x103b8c20686fe667:0x6da8245545ff161d!8m2!3d6.5043123!4d3.3403991!16s%2Fg%2F11r8z_dfs!19sChIJZ-ZvaCCMOxARHRb_RVUkqG0,Bus stop,"Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Empire,https://www.google.com/maps/place/Empire/data=!4m7!3m6!1s0x103b8c4e96304885:0x7b4b4bd2a2af54eb!8m2!3d6.5182797!4d3.3653891!16s%2Fg%2F1hhvyrq42!19sChIJhUgwlk6MOxAR61SvotJLS3s,Bus stop,"Agege Motor Rd, Idi Oro 101241, Lagos, Nigeria",Surulere,13777,64090,9375,28705,13132
Second Rainbow Bus-Stop,https://www.google.com/maps/place/Second+Rainbow+Bus-Stop/data=!4m7!3m6!1s0x103b89466b01dc69:0xa62f9d612384db12!8m2!3d6.4700955!4d3.3227936!16s%2Fg%2F1tcyn1k2!19sChIJadwBa0aJOxAREtuEI2GdL6Y,Bus stop,"Amuwo Odofin 102102, Lagos, Nigeria",Surulere,30583,51517,19754,45512,22972
Masha Bus Stop Taxi Stand,https://www.google.com/maps/place/Masha+Bus+Stop+Taxi+Stand/data=!4m7!3m6!1s0x103b8c17b1a9560b:0x15acb1ae4eac9785!8m2!3d6.5014161!4d3.3510339!16s%2Fg%2F1tdv937n!19sChIJC1apsReMOxARhZesTq6xrBU,Taxicab Stand,"2 Adelabu St, Surulere 101241, Lagos, Nigeria",Surulere,16453,59532,10717,31380,12043
Sanya Bustop,https://www.google.com/maps/place/Sanya+Bustop/data=!4m7!3m6!1s0x103b8eb2e8fc04bf:0x4ae0aae6e9cca2f4!8m2!3d6.4836485!4d3.3270697!16s%2Fg%2F1q66ynxm4!19sChIJvwT86LKOOxAR9KLM6eaq4Eo,Bus stop,"Sanya Overpass, Surulere 101241, Lagos, Nigeria",Surulere,25831,55533,13042,40761,18005
Yaba Station,https://www.google.com/maps/place/Yaba+Station/data=!4m7!3m6!1s0x103b8c5b10c80849:0x76e6a6e9e1696678!8m2!3d6.510682!4d3.370866!16s%2Fg%2F1tfsq01_!19sChIJSQjIEFuMOxAReGZp4emm5nY,Bus stop,"Lagos Mainland 101245, Lagos, Nigeria",Surulere,13217,65525,10677,28145,10918
Bus Corner Bus Stop,https://www.google.com/maps/place/Bus+Corner+Bus+Stop/data=!4m7!3m6!1s0x103b8c3c4c740fc9:0x3228850e9483c0f3!8m2!3d6.5061507!4d3.3524135!16s%2Fg%2F11pw4_5d7q!19sChIJyQ90TDyMOxAR88CDlA6FKDI,Bus stop,"Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Merchant Express Aviation,https://www.google.com/maps/place/Merchant+Express+Aviation/data=!4m7!3m6!1s0x103b8c0d7799e7ad:0x36cc68013c392faf!8m2!3d6.49191!4d3.35655!16s%2Fg%2F1hhw0j6jg!19sChIJreeZdw2MOxARry85PAFozDY,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Yaba Bus Station,https://www.google.com/maps/place/Yaba+Bus+Station/data=!4m7!3m6!1s0x103b8d3235c511f1:0xc9b1032d415e6d88!8m2!3d6.5116062!4d3.3702992!16s%2Fg%2F11ry7w5bxb!19sChIJ8RHFNTKNOxARiG1eQS0Dsck,Transportation service,"G96C+J4V, Yaba 101245, Oworonshoki, Lagos, Nigeria",Surulere,13197,63508,10233,28125,12592
Yaba Bus Terminal,https://www.google.com/maps/place/Yaba+Bus+Terminal/data=!4m7!3m6!1s0x103b8d8f36482011:0xb2c8021aea83a3f6!8m2!3d6.5106092!4d3.3709249!16s%2Fg%2F11pbxc0f5n!19sChIJESBINo-NOxAR9qOD6hoCyLI,Transportation service,"G96C+69V, Yaba Bus Park, Lagos Mainland 101245, Lagos, Nigeria",Surulere,13231,65539,10690,28158,12415
Barrack Bus Stop,https://www.google.com/maps/place/Barrack+Bus+Stop/data=!4m7!3m6!1s0x103b8c58b1149b67:0x4dace88c6f0a4a43!8m2!3d6.508862!4d3.378432!16s%2Fg%2F1hhx23jn_!19sChIJZ5sUsViMOxARQ0oKb4zorE0,Bus stop,"Herbert Macaulay Way, Yaba 101245, Lagos, Nigeria",Surulere,13255,66380,10714,28182,10888
Masha Bus Stop,https://www.google.com/maps/place/Masha+Bus+Stop/data=!4m7!3m6!1s0x103b8c17c64a42cf:0xc05c6532be31869b!8m2!3d6.5021159!4d3.3507724!16s%2Fg%2F11rp6b5229!19sChIJz0JKxheMOxARm4YxvjJlXMA,Bus stop,"Ikate 101241, Ikeja, Lagos, Nigeria",Surulere,16046,60357,9008,30973,12436
Adelabu,https://www.google.com/maps/place/Adelabu/data=!4m7!3m6!1s0x103b8c1773085629:0xe9f2db1f994d3ec6!8m2!3d6.500161!4d3.350079!16s%2Fg%2F11hf00x8l9!19sChIJKVYIcxeMOxARxj5NmR_b8uk,Bus station,"Ikate 101241, Ikeja, Lagos, Nigeria",Surulere,16046,60357,9434,30973,12436
Orile,https://www.google.com/maps/place/Orile/data=!4m7!3m6!1s0x103b8bf9a8e187d7:0x66b9144613d1eaee!8m2!3d6.478833!4d3.346665!16s%2Fg%2F11b6b70bhd!19sChIJ14fhqPmLOxAR7urRE0YUuWY,Bus stop,"3A, Alagba St, Nigeria",Surulere,23722,56703,16470,38652,11920
Abule Junction Bus Stop,https://www.google.com/maps/place/Abule+Junction+Bus+Stop/data=!4m7!3m6!1s0x103b8c576ddfffbb:0x434c03e1a72bfc9e!8m2!3d6.515151!4d3.375927!16s%2Fg%2F1hhwfvlzh!19sChIJu__fbVeMOxARnvwrp-EDTEM,Bus stop,"University Rd, Yaba 101245, Lagos, Nigeria",Surulere,12379,64687,9839,27307,12115
1st Rainbow,https://www.google.com/maps/place/1st+Rainbow/data=!4m7!3m6!1s0x103b894f17074b91:0x578149cbfdddeca2!8m2!3d6.4733906!4d3.3252257!16s%2Fg%2F1tfdggrr!19sChIJkUsHF0-JOxARouzd_ctJgVc,Bus stop,"Surulere 102102, Lagos, Nigeria",Surulere,15392,59283,10775,30319,11782
Orile,https://www.google.com/maps/place/Orile/data=!4m7!3m6!1s0x103b8bf93a232aff:0x45631fd74eda2201!8m2!3d6.478396!4d3.344648!16s%2Fg%2F11b6b3nqf_!19sChIJ_yojOvmLOxARASLaTtcfY0U,Bus stop,"Orile Iganmu 101241, Lagos, Nigeria",Surulere,21516,57078,14264,36446,12589
Coker Express Bus Stop.,https://www.google.com/maps/place/Coker+Express+Bus+Stop./data=!4m7!3m6!1s0x103b891c7d635959:0x3d29e667c1089062!8m2!3d6.4754991!4d3.3268387!16s%2Fg%2F11gxxhcv88!19sChIJWVljfRyJOxARYpAIwWfmKT0,School bus service,"Plot C83, Oshodi/ Apapa express way, by Ogungbesan St, Coker, Lagos, Nigeria",Surulere,19827,56296,12574,34756,14094
Iyana Igbobi Bus Stop,https://www.google.com/maps/place/Iyana+Igbobi+Bus+Stop/data=!4m7!3m6!1s0x103b8dacdb050379:0x9d1ecf16f8477d92!8m2!3d6.5252909!4d3.3721483!16s%2Fg%2F11g_47fcp!19sChIJeQMF26yNOxARkn1H-BbPHp0,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Surulere,14414,74833,17454,26394,22683
Yaba Bus Stop,https://www.google.com/maps/place/Yaba+Bus+Stop/data=!4m7!3m6!1s0x103b8c5a955230e3:0x7a9d99f008bc303a!8m2!3d6.5124916!4d3.3704344!16s%2Fg%2F1hhx4gmw5!19sChIJ4zBSlVqMOxAROjC8CPCZnXo,Bus stop,"Edmund Cres, Yaba 101245, Lagos, Nigeria",Surulere,13609,63920,10645,28536,12973
Jibowu Bus Stop,https://www.google.com/maps/place/Jibowu+Bus+Stop/data=!4m7!3m6!1s0x103b8c4dd963e4ef:0x210a4ab6767bbd25!8m2!3d6.5194683!4d3.3674491!16s%2Fg%2F1hhwbh_bt!19sChIJ7-Rj2U2MOxARJb17drZKCiE,Bus stop,"Murtala Muhammed Way, Jibowu 101245, Lagos, Nigeria",Surulere,13661,63972,10697,28588,13025
Unilag Campus Shuttle Bus STOP Yaba,https://www.google.com/maps/place/Unilag+Campus+Shuttle+Bus+STOP+Yaba/data=!4m7!3m6!1s0x103b8d4714f430fb:0xfef945105175faa2!8m2!3d6.5107121!4d3.3704766!16s%2Fg%2F11hznh70g0!19sChIJ-zD0FEeNOxARovp1URBF-f4,School bus service,"G96C+75Q, Unnamed Road, Yaba 101245, Lagos, Nigeria",Surulere,13095,63406,10131,28022,12490
Mosalashi Bus Stop,https://www.google.com/maps/place/Mosalashi+Bus+Stop/data=!4m7!3m6!1s0x103b8c4e2f186a3f:0x67382dbe00851279!8m2!3d6.5170383!4d3.3688305!16s%2Fg%2F1w44h70x!19sChIJP2oYL06MOxAReRKFAL4tOGc,Bus stop,"Higher College Rd, Yaba 101245, Lagos, Nigeria",Surulere,14131,66439,11590,29058,12683
Saint Agnes Bus Stop,https://www.google.com/maps/place/Saint+Agnes+Bus+Stop/data=!4m7!3m6!1s0x103b8c585653cadb:0xeb22ca7fe7a3789b!8m2!3d6.5112151!4d3.3771425!16s%2Fg%2F1hhwtx8ty!19sChIJ28pTVliMOxARm3ij53_KIus,Bus stop,"Herbert Macaulay Way, Yaba 101245, Lagos, Nigeria",Surulere,13255,66380,10714,28182,10888
okada junction,https://www.google.com/maps/place/okada+junction/data=!4m7!3m6!1s0x103b8eaf0c17f755:0x615fc97563d0d01c!8m2!3d6.491124!4d3.3317274!16s%2Fg%2F1q66syyf_!19sChIJVfcXDK-OOxARHNDQY3XJX2E,Bus stop,"Airways St, Surulere 101241, Lagos, Nigeria",Surulere,18781,61852,9259,33711,14363
Masha,https://www.google.com/maps/place/Masha/data=!4m7!3m6!1s0x103b8c17b9ea8447:0x322713111ee34130!8m2!3d6.501685!4d3.350786!16s%2Fg%2F11r6y6zzzj!19sChIJR4TquReMOxARMEHjHhETJzI,Bus stop,"Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Yabatech Bus Stop,https://www.google.com/maps/place/Yabatech+Bus+Stop/data=!4m7!3m6!1s0x103b8c5722ff3b09:0x6fffe239c796eed4!8m2!3d6.5159106!4d3.3752838!16s%2Fg%2F11g_tnkqp!19sChIJCTv_IleMOxAR1O6Wxzni_28,Bus stop,"Aggrey Street, Yaba 101245, Lagos, Nigeria",Surulere,12132,64439,9591,27059,12351
Otun Oba Bus Stop,https://www.google.com/maps/place/Otun+Oba+Bus+Stop/data=!4m7!3m6!1s0x103b8fd3152707bd:0x33e06adadbaabc52!8m2!3d6.5110502!4d3.3377436!16s%2Fg%2F11ft7mn6vn!19sChIJvQcnFdOPOxARUryq29pq4DM,Gas station,"137 Lawanson Rd, Mushin 101241, Lagos, Nigeria",Surulere,15981,62494,8636,29925,14125
Mile 2 Bus Stop,https://www.google.com/maps/place/Mile+2+Bus+Stop/data=!4m7!3m6!1s0x103b893e4a2ba18f:0xfea3ade36860ad36!8m2!3d6.462392!4d3.315932!16s%2Fg%2F1hhwgh29h!19sChIJj6ErSj6JOxARNq1gaOOto_4,Bus stop,"Amuwo Odofin Estate 102102, Ikeja, Lagos, Nigeria",Surulere,25655,55081,10137,40584,17806
Sanya Bus-Stop,https://www.google.com/maps/place/Sanya+Bus-Stop/data=!4m7!3m6!1s0x103b8eb15ff0a58d:0xcdce0c86d5c2bde!8m2!3d6.4874889!4d3.3250004!16s%2Fg%2F1td0k41y!19sChIJjaXwX7GOOxAR3itcbcjg3Aw,Bus stop,"Apapa Oworonshoki Expy, Amuwo Odofin 102102, Lagos, Nigeria",Surulere,19898,56829,12645,34828,31314
Waec Bus Stop,https://www.google.com/maps/place/Waec+Bus+Stop/data=!4m7!3m6!1s0x103b8c51a3d2827d:0x23d4131a02344f1!8m2!3d6.5176!4d3.37129!16s%2Fg%2F11r6y2kxtt!19sChIJfYLSo1GMOxAR8UQjoDFBPQI,Bus stop,"Jibowu 101245, Ikeja, Lagos, Nigeria",Surulere,11419,63627,8779,26346,13318
Orile,https://www.google.com/maps/place/Orile/data=!4m7!3m6!1s0x103b8bf939694a7f:0xdb99c25daa2b17c!8m2!3d6.478297!4d3.344776!16s%2Fg%2F11b6bc9d6q!19sChIJf0ppOfmLOxARfLGi2iWcuQ0,Bus stop,"Orile Iganmu 101241, Ikeja, Lagos, Nigeria",Surulere,21516,57078,14264,36446,12589
Ekene Dili Chukwu Transport company,https://www.google.com/maps/place/Ekene+Dili+Chukwu+Transport+company/data=!4m7!3m6!1s0x103b8c4e0a321425:0x8f8796208243bde5!8m2!3d6.5191325!4d3.3680713!16s%2Fg%2F1td82jp7!19sChIJJRQyCk6MOxAR5b1DgiCWh48,Bus stop,"Jibowu St, Surulere 101245, Lagos, Nigeria",Surulere,11098,64111,14816,26025,13803
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b89471592b105:0xd29158fa690bde14!8m2!3d6.467583!4d3.3202401!16s%2Fg%2F11f34vttxz!19sChIJBbGSFUeJOxARFN4LafpYkdI,Bus station,"Apapa-Oshodi Express Way, Amuwo Odofin Estate 102102, Lagos, Nigeria",Surulere,24921,54623,12131,39851,17095
